Salinity,pH,Temperature,Magnitude
10000000,7,0,33.8
10000000,7.2,0,21.4
10000000,7.4,0,14
10000000,7.6,0,8.2
10000000,7.8,0,5.4
10000000,8,0,3.4
10000000,8.2,0,2.2
10000000,8.4,0,1.4
10000000,8.6,0,0.9
10000000,8.8,0,0.6
10000000,9,0,0.4
10000000,7,5,23.9
10000000,7.2,5,14.8
10000000,7.4,5,9.9
10000000,7.6,5,5.9
10000000,7.8,5,3.9
10000000,8,5,2.4
10000000,8.2,5,1.5
10000000,8.4,5,1
10000000,8.6,5,0.6
10000000,8.8,5,0.4
10000000,9,5,0.3
10000000,7,10,16.5
10000000,7.2,10,9.9
10000000,7.4,10,6.4
10000000,7.6,10,4.1
10000000,7.8,10,2.6
10000000,8,10,1.6
10000000,8.2,10,1.1
10000000,8.4,10,0.7
10000000,8.6,10,0.4
10000000,8.8,10,0.3
10000000,9,10,0.2
10000000,7,15,11.5
10000000,7.2,15,7.2
10000000,7.4,15,4.4
10000000,7.6,15,2.8
10000000,7.8,15,1.8
10000000,8,15,1.2
10000000,8.2,15,0.7
10000000,8.4,15,0.5
10000000,8.6,15,0.3
10000000,8.8,15,0.2
10000000,9,15,0.1
10000000,7,20,7.7
10000000,7.2,20,4.9
10000000,7.4,20,3
10000000,7.6,20,2
10000000,7.8,20,1.2
10000000,8,20,0.8
10000000,8.2,20,0.5
10000000,8.4,20,0.3
10000000,8.6,20,0.2
10000000,8.8,20,0.1
10000000,9,20,0.1
10000000,7,25,5.4
10000000,7.2,25,3.4
10000000,7.4,25,2.1
10000000,7.6,25,1.4
10000000,7.8,25,0.9
10000000,8,25,0.6
10000000,8.2,25,0.4
10000000,8.4,25,0.2
10000000,8.6,25,0.2
10000000,8.8,25,0.1
10000000,9,25,0.1
10000000,7,30,3.6
10000000,7.2,30,2.3
10000000,7.4,30,1.5
10000000,7.6,30,1
10000000,7.8,30,0.6
10000000,8,30,0.4
10000000,8.2,30,0.3
10000000,8.4,30,0.2
10000000,8.6,30,0.1
10000000,8.8,30,0.1
10000000,9,30,0.1
10000000,7,35,2.6
10000000,7.2,35,1.6
10000000,7.4,35,1
10000000,7.6,35,0.7
10000000,7.8,35,0.4
10000000,8,35,0.3
10000000,8.2,35,0.2
10000000,8.4,35,0.1
10000000,8.6,35,0.1
10000000,8.8,35,0.1
10000000,9,35,0.1
20000000,7,0,36.2
20000000,7.2,0,22.2
20000000,7.4,0,14.8
20000000,7.6,0,9.1
20000000,7.8,0,5.7
20000000,8,0,3.6
20000000,8.2,0,2.3
20000000,8.4,0,1.5
20000000,8.6,0,0.9
20000000,8.8,0,0.6
20000000,9,0,0.4
20000000,7,5,24.7
20000000,7.2,5,15.6
20000000,7.4,5,9.9
20000000,7.6,5,6.2
20000000,7.8,5,3.9
20000000,8,5,2.5
20000000,8.2,5,1.6
20000000,8.4,5,1
20000000,8.6,5,0.6
20000000,8.8,5,0.4
20000000,9,5,0.3
20000000,7,10,17.3
20000000,7.2,10,10.7
20000000,7.4,10,6.7
20000000,7.6,10,4.4
20000000,7.8,10,2.8
20000000,8,10,1.7
20000000,8.2,10,1.1
20000000,8.4,10,0.7
20000000,8.6,10,0.5
20000000,8.8,10,0.3
20000000,9,10,0.2
20000000,7,15,11.5
20000000,7.2,15,7.4
20000000,7.4,15,4.6
20000000,7.6,15,2.8
20000000,7.8,15,1.9
20000000,8,15,1.2
20000000,8.2,15,0.8
20000000,8.4,15,0.5
20000000,8.6,15,0.3
20000000,8.8,15,0.2
20000000,9,15,0.1
20000000,7,20,8
20000000,7.2,20,5.1
20000000,7.4,20,3.4
20000000,7.6,20,2.1
20000000,7.8,20,1.3
20000000,8,20,0.8
20000000,8.2,20,0.5
20000000,8.4,20,0.4
20000000,8.6,20,0.2
20000000,8.8,20,0.2
20000000,9,20,0.1
20000000,7,25,5.4
20000000,7.2,25,3.6
20000000,7.4,25,2.2
20000000,7.6,25,1.4
20000000,7.8,25,0.9
20000000,8,25,0.6
20000000,8.2,25,0.4
20000000,8.4,25,0.2
20000000,8.6,25,0.2
20000000,8.8,25,0.1
20000000,9,25,0.1
20000000,7,30,3.9
20000000,7.2,30,2.5
20000000,7.4,30,1.6
20000000,7.6,30,1
20000000,7.8,30,0.6
20000000,8,30,0.4
20000000,8.2,30,0.3
20000000,8.4,30,0.2
20000000,8.6,30,0.1
20000000,8.8,30,0.1
20000000,9,30,0.1
20000000,7,35,2.6
20000000,7.2,35,1.7
20000000,7.4,35,1.1
20000000,7.6,35,0.7
20000000,7.8,35,0.4
20000000,8,35,0.3
20000000,8.2,35,0.2
20000000,8.4,35,0.1
20000000,8.6,35,0.1
20000000,8.8,35,0.1
20000000,9,35,0.1
30000000,7,0,38.7
30000000,7.2,0,23.9
30000000,7.4,0,15.6
30000000,7.6,0,9.9
30000000,7.8,0,6.2
30000000,8,0,3.9
30000000,8.2,0,2.5
30000000,8.4,0,1.6
30000000,8.6,0,1
30000000,8.8,0,0.6
30000000,9,0,0.4
30000000,7,5,25.5
30000000,7.2,5,16.5
30000000,7.4,5,10.7
30000000,7.6,5,6.7
30000000,7.8,5,4.1
30000000,8,5,2.6
30000000,8.2,5,1.7
30000000,8.4,5,1.1
30000000,8.6,5,0.7
30000000,8.8,5,0.4
30000000,9,5,0.3
30000000,7,10,18.1
30000000,7.2,10,11.5
30000000,7.4,10,7.2
30000000,7.6,10,4.6
30000000,7.8,10,2.8
30000000,8,10,1.8
30000000,8.2,10,1.2
30000000,8.4,10,0.7
30000000,8.6,10,0.5
30000000,8.8,10,0.3
30000000,9,10,0.2
30000000,7,15,12.4
30000000,7.2,15,8
30000000,7.4,15,4.9
30000000,7.6,15,3
30000000,7.8,15,2
30000000,8,15,1.3
30000000,8.2,15,0.8
30000000,8.4,15,0.5
30000000,8.6,15,0.3
30000000,8.8,15,0.2
30000000,9,15,0.2
30000000,7,20,9.1
30000000,7.2,20,5.4
30000000,7.4,20,3.4
30000000,7.6,20,2.6
30000000,7.8,20,1.4
30000000,8,20,0.9
30000000,8.2,20,0.6
30000000,8.4,20,0.4
30000000,8.6,20,0.2
30000000,8.8,20,0.2
30000000,9,20,0.1
30000000,7,25,5.9
30000000,7.2,25,3.9
30000000,7.4,25,2.4
30000000,7.6,25,1.5
30000000,7.8,25,1
30000000,8,25,0.6
30000000,8.2,25,0.4
30000000,8.4,25,0.3
30000000,8.6,25,0.2
30000000,8.8,25,0.1
30000000,9,25,0.1
30000000,7,30,4.1
30000000,7.2,30,2.6
30000000,7.4,30,1.6
30000000,7.6,30,1.1
30000000,7.8,30,0.7
30000000,8,30,0.4
30000000,8.2,30,0.3
30000000,8.4,30,0.2
30000000,8.6,30,0.1
30000000,8.8,30,0.1
30000000,9,30,0.1
30000000,7,35,2.8
30000000,7.2,35,1.8
30000000,7.4,35,1.2
30000000,7.6,35,0.7
30000000,7.8,35,0.5
30000000,8,35,0.3
30000000,8.2,35,0.2
30000000,8.4,35,0.1
30000000,8.6,35,0.1
30000000,8.8,35,0.1
30000000,9,35,0.1
